,Product,Minimum_price,Maximum_price2,Shipping_cost
0,Samsung Galaxy A54 5G 128GB SM-A546 50 MP (Unlocked T-Mobile AT&T) 2Day Fedex,219.99,259.99,33.91
1,"Samsung Galaxy A23 5G SM-A236U, 64GB, Black Unlocked/ Locked T-Mobile AT&T",79.99,139.99,28.42
2,Samsung Galaxy S21 | S21+ Plus 5G - 128GB - Unlocked | Verizon | T-Mobile | AT&T,204.95,299.95,34.47
3,Samsung Galaxy A53 5G 128GB Black SM-A536 Unlocked T-Mobile AT&T FedEx 2 Day,179.99,249.99,26.18
4,Samsung Galaxy S21 5G Unlocked G991U 128GB Android Smartphone Very Good,212.0,212.0,32.32
5,Samsung Galaxy S21 5G SM-G991U Factory Unlocked 128GB Phantom Gray C,174.99,174.99,31.22
6,Samsung Galaxy A04E (A042F) 32GB GSM Unlocked International Version (New),87.99,87.99,28.66
7,Samsung Galaxy S9 - 64GB - Unlocked SIM - Good condition - Fully Working!,92.5,92.5,28.79
8,Samsung Galaxy S20 5G Unlocked G981U 128GB Android Smartphone Very Good,199.0,199.0,31.93
9,Samsung Galaxy A14 Dual Sim - 128GB - Unlocked - 4G / 5G -Smartphone All Colours,137.9,202.46,25.38
10,Samsung Galaxy Note 20 5G SM-N981U - 128GB -  (Unlocked) Shaded,204.99,204.99,32.11
11,New Sealed Samsung Galaxy A14 Smartphone 64GB Unlocked 4G Dual Sim All Colours,142.97,142.97,25.34
12,Samsung Galaxy S9 G960U GSM Factory Unlocked 64GB Smartphone - Image Burn,99.99,99.99,29.01
13,Samsung Galaxy S20 | S20+ | S20 FE | S20 Ultra 5G 128GB - Unlocked Verizon AT&T,154.95,324.95,34.17
14,Samsung Galaxy A03s SM-A037U 32GB / 64GB Unlocked T-Mobile AT&T Verizon Fedex,59.99,89.99,21.46
15,Samsung Galaxy S10 | S10e | S10+ Plus 128GB 512GB Unlocked AT&T Verizon T-Mobile,109.95,219.95,24.85
16,Samsung Galaxy S20+ Plus 5G Unlocked G986U 128GB Android Smartphone Good Shadow,174.0,174.0,31.19
17,Samsung Galaxy S10 S10e S10+ Plus 128GB 512GB Unlocked Verizon T-Mobile AT&T,109.85,214.85,30.19
18,Samsung Galaxy S20 5G Unlocked G981U 128GB Android Smartphone Spot,88.2,109.0,29.28
19,Samsung S21 128GB Unlocked 5G *Please Read*,183.63,183.63,32.41
20,Samsung Galaxy S10 - 128GB - Unlocked SIM - SM-G973U - Fully Working! Nice!,127.5,127.5,29.82
21,NEW Samsung Galaxy A03/A04/A13/A14/A22/A24/A34/A54 128GB Dual SIM Android phone,113.9,377.18,29.14
22,New ListingSamsung Galaxy S21+Plus 5G - 128 GB - Phantom Black (T-Mobile),180.0,180.0,42.97
23,Samsung Galaxy S20 FE 5G G781U 128GB Unlocked Smartphone,159.99,159.99,30.78
24,Samsung Galaxy S23 Ultra 5G SM-S918B/DS 256GB 8GB Dual SIM Unlocked GSM Global,874.99,874.99,52.65
25,Samsung Galaxy S21 Ultra 5G SM-G998B - 128GB - Phantom Black (Unlocked),227.51,227.51,19.56
26,New Sealed Samsung Galaxy A15 Smartphone 128GB Unlocked 4G Dual Sim All Colours,174.65,174.65,26.43
27,Samsung Galaxy S21 FE 5G SM-G990U2 Factory Unlocked 128GB Graphite Good,189.99,189.99,31.67
28,Samsung Galaxy S20 5G Unlocked G981U 128GB Android Smartphone Excellent,211.0,211.0,32.29
29,Samsung Galaxy A14 5G SM-A415U 64GB AT&T T-Mobile MetroPCS Unlocked FedEx 2 Day,79.99,109.99,28.42
30,Samsung Galaxy S9 & S9+ Plus 64GB 128GB 256GB - Unlocked AT&T T-Mobile Verizon,104.94,194.94,30.19
31,Samsung S20+ Plus 5G Unlocked G986U 128GB Android Smartphone Spot,119.0,139.0,30.16
32,BRAND NEW Samsung Galaxy S21 Ultra 5G G998U 128GB GSM+CDMA Factory Unlocked,425.0,425.0,39.37
33,VERY GOOD Samsung Galaxy A14 5G Unlocked Worldwide 64GB SM-A415U - Black,109.0,109.0,29.28
34,Samsung Galaxy S20+ Plus 5G Unlocked G986U 128GB Android Smartphone Very Good,217.0,217.0,32.46
35,"Samsung Galaxy XCover Pro SM-G715U, 64GB,Black,Unlock,Fair Condition:BB798",75.0,75.0,29.05
36,Samsung N960 Galaxy Note 9 128GB Factory Unlocked Smartphone,149.0,149.0,30.46
37,Samsung Galaxy Z Flip 3 5G SM-F711U1 Factory Unlocked 256GB Phantom Black Good,204.99,204.99,32.11
38,NEW Samsung Galaxy S22 PLUS 5G SM-S906U1 128GB/256GB FACTORY UNLOCKED ❖SEALED❖,479.0,579.0,42.85
39,Samsung Galaxy S9 & S9+ Plus 64GB | 128GB | 256GB - Unlocked - Good,104.95,164.95,23.37
40,"Samsung Galaxy A14 5G - 128GB (GSM UNLOCKED) 4GB RAM Dual Sim 6.6"" Display NEW",179.99,179.99,31.37
41,"Samsung Galaxy Note10 Plus 5G SM-N975V, 256GB, Aura Glow,Unlocked,Fair Con:CC879",175.5,175.5,32.01
42,Factory Unlocked Samsung Galaxy NOTE 20 5G (SM-N981U) 128GB Gray - Pristine,275.0,275.0,34.95
