Product,price,Shipping_cost
Samsung Galaxy S21 SM-G991U - 128GB - Phantom Gray (Unlocked),$234.95,32.99
Samsung Galaxy A54 5G 128GB 8GB RAM Dual Sim Unlocked Andriod Smartphone Sealed,$352.16,32.42
New Samsung Galaxy A90 5G SM-A908N 128GB UNLOCKED Smartphone Works Worldwide  !!,$169.99,41.68
Samsung Galaxy S7 SM-G930V - 32GB -  (Verizon) 4G LTE Smartphone,$54.00,28.43
Samsung Galaxy S20+ 5G SM-G986U - 128GB (Unlocked) - Cosmic Black,$149.95,30.49
Samsung Galaxy S10+ Plus SM-G975U - 128GB  (Unlocked) - Excellent,$199.99,31.96
Samsung Galaxy A14 A145F 64GB GSM Factory Unlocked International Version (NEW),$139.99,30.19
Samsung Galaxy A54 5G A546E 128GB 8GB RAM GSM Unlocked Global Version NEW,$314.95,35.35
SAMSUNG GALAXY S22 ULTRA 5G S908U1 128GB│256GB │512GB (FACTORY UNLOCKED) ❖SEALED,$598.95 to $726.95,48.28
Samsung Galaxy Z Flip3 5G SM-F711U1 - Factory Unlocked - EBAY REFURBISHED - GOOD,$182.99,31.46
"Samsung Galaxy Note10 Plus 5G SM-N975V, 256GB, Aura Glow,Unlocked,Fair Con:CC879",$275.00,34.95
Samsung Galaxy Z Flip 5 SM-F731U1 Factory Unlocked 512GB Gray OPEN BOX,$579.99,43.94
Samsung Galaxy S8 Active - 64GB (GSM Unlocked) T-Mobile AT&T Metro Cricket,$63.85 to $144.95,29.16
NEW Samsung Galaxy S10+Plus SM-G975U  128GB  Factory Unlocked Smartphones SEALED,$259.99,34.50
"Samsung Galaxy A23 5G, Boost Mobile Only | Black, 64 GB, 6.6 in Mint",$119.99,29.60
Samsung Galaxy Note10 SM-N970U - 256GB - Aura Black (Unlocked) (Single SIM),$125.00,30.52
New ListingSamsung Galaxy S21 Ultra 5G - 128 GB - Phantom Black (AT&T) *READ DESCRIPTION*,$219.99,33.32
Samsung Galaxy A50 128 GB Black Enterprise Edition (Without Simlock) (Dual Sim),$42.98,15.57
Samsung Galaxy Folder2 SM-G1650 Android Big Keyboad Dual SIM 4G LTE Flip Phone,$105.40,18.00
Samsung Galaxy A03s 32GB - Black (Unlocked),$89.99,28.72
Samsung Galaxy A32 5G - 64GB - SM-A326U (Unlocked) (Single SIM) Smartphone,$89.95 to $139.95,29.31
SAMSUNG GALAXY NOTE 20 ULTRA 5G N986U1 (FACTORY UNLOCKED) 128GB│512GB ❖SEALED❖,$448.95,40.08
