store_name,location,rating
أجمل,شارع العليا، العليا، الرياض 12262، المملكة العربية السعودية,3.9
AJMAL | أجمل,7806، 2433 طريق الامام سعود بن عبدالعزيز بن محمد الفرعي، المغرزات، الرياض 12483 7806 طريق الامام سعود بن عبدالعزيز بن محمد الفرعي المغرزات الرياض 12483 7806، المملكة العربية السعودية,4.1
أجمل,6137 طريق الملك عبدالعزيز، النفل، الرياض 13312، المملكة العربية السعودية,4.3
أجمل للعطور,شارع التخصصي، المعذر،، الرياض 12714، المملكة العربية السعودية,4.3
أجمل للعطور,طريق الدمام، اليرموك، الرياض 13251، المملكة العربية السعودية,4.5
AJMAL | أجمل,الطريق الدائري الشرقي الفرعي، Saffori land، الرياض 12839، المملكة العربية السعودية,4.2
أجمل للعطور,7171 طريق سعيد ابن زيد، حي قرطبة، الرياض 13248 2267، المملكة العربية السعودية,4.3
AJMAL | أجمل,نجد، ظهرة لبن _، الرياض المملكة العربية السعودية,4.4
أجمل للعطور,طريق الملك عبدالله، الملك فيصل، الرياض 13215، المملكة العربية السعودية,4.0
Ajmal Perfumes | أجمل للعطور,الزمان تريدنك كو.ل تي دي، مخرج 4، سنتر بوينت، العليا، العليا، الملك فهد، الرياض 12271، المملكة العربية السعودية,3.5
AJMAL | أجمل,2711 السويدي العام، السويدي، الرياض 12791 7639، المملكة العربية السعودية,3.8
AJMAL | أجمل,6242، الملك عبدالعزيز،، 3224،، الرياض 12411، المملكة العربية السعودية,3.8
AJMAL | أجمل,4995 الصحراء الكبرى، عرقة، الرياض 12583 6815، المملكة العربية السعودية,4.1
أجمل للعطور,"Salaam Mall, 4419 الطريق الدائري الغربي الفرعي، ظهرة نمار، الرياض 14924، المملكة العربية السعودية",3.9
أجمل للعطور,"6883 الامام تركي بن عبدالله بن محمد، الديرة, 2591، الرياض 12634، المملكة العربية السعودية",4.0
AJMAL | أجمل,QR2C+FQ، طريق خريص الفرعي، النسيم الشرقي، الرياض 14241، المملكة العربية السعودية,4.1
أجمل للعطور,RPVM+XX، مطار الملك خالد الدولي، الرياض 13413، المملكة العربية السعودية,3.6
أجمل للعطور,PM6G+J4، العليا، الرياض 12214، المملكة العربية السعودية,4.0
AJMAL | أجمل,الطريق الدائري الشمالي الفرعي، العقيق، الرياض 13511، المملكة العربية السعودية,4.3
AJMAL | أجمل,"PMRJ+R3, King Fahd، حياة مول، ،, الملك فهد، الرياض 12272، المملكة العربية السعودية",4.9
روائع عطري أجمل,3119 المرمر، حي الندوة، الرياض 14814، المملكة العربية السعودية,4.0
نجمة أجمل للعطور والمكياج,HP84+356 أسواق العودة، الترمذي، الشفا، الرياض 14712، المملكة العربية السعودية,3.7
نعومي أجمل,"2914 عبدالحكيم الجمحي، النسيم الغربي, 8556، الرياض 14233، المملكة العربية السعودية",3.8
أجمل للعطور,طريق ام القرى، الزهراء، مكة 24221، المملكة العربية السعودية,4.1
Ajmal Perfumes | أجمل للعطور,طريق الملك خالد، الجامعة، مكة 24243، المملكة العربية السعودية,4.3
أجمل للعطور,الحرم، بجانب، مكة المملكة العربية السعودية,4.1
AJMAL | أجمل,شارع الشيخ محمد بن جبير، الشوقية، مكة 24351، المملكة العربية السعودية,4.1
AJMAL | أجمل,"8738 طريق الملك عبدالله، الجامعة، 3034, مكة 24246، المملكة العربية السعودية",4.8
اجمل للعطور ابراج البيت 4,بجوار مركز الاهرام، شارع أجياد، الحرم، مكة 24231، المملكة العربية السعودية,3.0
AJMAL | أجمل,طريق الأمير محمد بن عبد العزيز الفرعي، الروضة، جدة 23432، المملكة العربية السعودية,4.3
أجمل للعطور,الأندلس مول، الأمير ماجد، طريق المطار القديم، جدة المملكة العربية السعودية,4.2
AJMAL | أجمل,"الفيصلية، Aziz Mall, Gate 2, جدة 23447، المملكة العربية السعودية",3.5
Ajmal Perfumes | أجمل للعطور,H6RH+P4، المنار، جدة 23462، المملكة العربية السعودية,4.0
AJMAL | أجمل,طريق النزهة الفرعي، النزهة، جدة 23532، المملكة العربية السعودية,3.8
AJMAL | أجمل,"Gate 6, طريق الملك عبدالعزيز، الشاطئ، Redsea Mall, جدة 23612، المملكة العربية السعودية",4.3
Ajmal parfum-أجمل للعطور,شارع فلسطين، الرويس، جدة 23215، المملكة العربية السعودية,4.0
AJMAL | أجمل,"Gate 5 or 6, الامير ماجد،, الفيحاء، Abdullah Sulayman St, جدة المملكة العربية السعودية",3.2
AJMAL | أجمل,H54P+G8، العزيزية، جدة 23334، المملكة العربية السعودية,4.0
أجمل للعطور,البلد، جدة 22233، المملكة العربية السعودية,3.9
أجمل للعطور (مجمع الصالحيه_البلد),"Red Sea Palace, طريق الملك عبدالعزيز الفرعي، St, Al Balad, جدة 22233، المملكة العربية السعودية",4.2
AJMAL | أجمل,267، شهار، الطائف 26513، المملكة العربية السعودية,4.3
AJMAL | أجمل,7CGW+RCM بين بوابة 2 و3، حي الجال، الطائف 26523، المملكة العربية السعودية,4.0
AJMAL | أجمل,سوق الطائف الدولي، خالد بن الوليد، الربيع، الطائف 26513، المملكة العربية السعودية,4.7
اجمل للعطور,"3450 طلعه العيدروس, Al Balad District, 6706، جدة 22236، المملكة العربية السعودية",4.0
أجمل للعطور,"سوق الشاطي, الزهراء، جدة 23425، المملكة العربية السعودية",4.1
اجمل التركيز للعطور,بلازا، السليمانية، جدة 22253، المملكة العربية السعودية,5.0
مستودع أجمل,C7RC+QF8، ، حي الجوهرة، سيد الشهداء، جدة المملكة العربية السعودية,4.0
أجمل,H6VH+WCC، المنار،، جدة المملكة العربية السعودية,4.7
أجمل جدة بارك,شارع الستين، الصحيفة، جدة 22237، المملكة العربية السعودية,3.0
أجمل,"6130 الحكم بن متعب،, الدفاع، 4018, المدينة المنورة 42374، المملكة العربية السعودية",4.1
أجمل للعطور,شارع سلطانة، مجمع الدخيل بلازا 2 الطابق الثاني، المدينة المنورة المملكة العربية السعودية,4.1
AJMAL | أجمل,طريق عثمان بن عفان، طريق الملك عبدالله بن عبدالعزيز، المدينة المنورة المملكة العربية السعودية,4.1
اجمل عطور,2413 محمد بن عمر التونسي، السعادة، تبوك 47914 9658، المملكة العربية السعودية,5.0
اجمل للعطور تبوك,3178، 7623،، تبوك 47912، المملكة العربية السعودية,4.3
زهرة أجمل للعطور,9HR9+CC6، طريق الملك خالد، العزيزية القديمة، تبوك 47912، المملكة العربية السعودية,5.0
