store_name,location,rating
العربية للعود |arabian oud,3585، مروج الأمير، تبوك 47315، المملكة العربية السعودية,4.4
العربية للعود,طريق الملك فهد، سلطانة، تبوك 47312، المملكة العربية السعودية,4.5
العربية للعود,العليا، تبوك 47911، المملكة العربية السعودية,3.9
العربيه للعود,الامير عبدالمجيد بن عبدالعزيز، المروج ب،، تبوك 47312، المملكة العربية السعودية,4.0
العربية للعود,علي بن ابي طالب، السعادة، تبوك 47914، المملكة العربية السعودية,3.4
العربية للعود,kgab7336، 7336 خديجة بنت خويلد، 5635، الصفا، تبوك 47919، المملكة العربية السعودية,4.4
العربية للعود,طريق الملك فهد، العليا، تبوك 47911، المملكة العربية السعودية,3.4
العربية للعود بالشارع العام (arabianoud tabuk ),3673 الامام محمد بن عبدالوهاب، المنشية القديمة، تبوك 47914، المملكة العربية السعودية,4.4
العربية للعود,عمر بن الخطاب، الصالحية، تبوك 47913، المملكة العربية السعودية,3.3
arabian oud العربية للعود,"المصيف، المروج،،, تبوك 47321، المملكة العربية السعودية",4.0
129 العربية للعود | arabian oud,3361 طيبة، العزيزية القديمة، تبوك 47912، المملكة العربية السعودية,3.9
العربية للعود فرع 102,3593 جادة الامير فهد بن سلطان،، العوايشة، تبوك 47914، المملكة العربية السعودية,3.9
1225 العربية للعود | arabian oud,"شارع الخرج - مقابل رعد الشمال للرحلات، تبوك, تبوك المملكة العربية السعودية",5.0
arabian oud,طريق الملك فيصل، مروج الأمير، تبوك 47315، المملكة العربية السعودية,4.2
436 العربية للعود | arabian oud,7619 ابي بكر الصديق، المروج،، تبوك 47312، المملكة العربية السعودية,3.3
706 العربية للعود | arabian oud,عمر بن الخطاب، العزيزية القديمة، تبوك 47912، المملكة العربية السعودية,4.0
606 العربية للعود | arabian oud,"7222 طريق الملك خالد، حي الفيصلية الجنوبية, kgac3448، 3448, تبوك 47911، المملكة العربية السعودية",4.0
العربية للعود arabian oud,"juhaina sq mall of arabia, unit no. h96, محافظة الجيزة 12573",4.4
العربيه للعود,طارق بن زياد، الرزيقية، العلا 43561، المملكة العربية السعودية,3.4
arabian oud,"mall of egypt, قسم أول 6 أكتوبر، محافظة الجيزة 3294001",4.7
