store_name,location,rating
الماجد للعود,طريق الملك فهد، العقيق، الرياض 13515، المملكة العربية السعودية,4.3
الماجد للعود,طريق الملك عبدالعزيز، الربيع، الرياض 13315، المملكة العربية السعودية,4.3
الماجد للعود,طريق عثمان بن عفان، الوادي، الرياض 13313، المملكة العربية السعودية,4.5
الماجد للعود,طريق أنس ابن مالك، الياسمين، الرياض 13322، المملكة العربية السعودية,4.5
الماجد للعود,Exit 9، طريق الامام سعود بن عبدالعزيز بن محمد الفرعي، المغرزات، الرياض 12483، المملكة العربية السعودية,4.8
الماجد للعود,اليرموك، الرياض 13251، المملكة العربية السعودية,4.6
الماجد للعود,شارع التخصصي، الرحمانية، الرياض 12342، المملكة العربية السعودية,4.2
الماجد للعود,شارع حمزة بن عبدالمطلب، العريجاء الغربية، الرياض 12976، المملكة العربية السعودية,4.2
الماجد للعود,"4522 الشفا, ظهرة لبن، الرياض 13782، المملكة العربية السعودية",4.2
الماجد للعود,الديرة، الرياض 12651، المملكة العربية السعودية,4.2
الماجد للعود,2145 طريق الملك سلمان بن عبدالعزيز، الملقا، الرياض 13524، المملكة العربية السعودية,4.4
الماجد للعود,8264 طريق الثمامة، قرطبة، 3627، الرياض 13248، المملكة العربية السعودية,4.4
الماجد للعود,العارض، الرياض 13335، المملكة العربية السعودية,4.6
الماجد للعود,غرناطة، الرياض 13241، المملكة العربية السعودية,3.8
الماجد للعود,QQFG+6HG، الملك فيصل، الرياض 13215، المملكة العربية السعودية,4.4
الماجد للعود,"اليرموك, Yarmouk 13252، المملكة العربية السعودية",4.0
الماجد للعود,"خريص العثيم, النسيم الشرقي، الرياض 14241، المملكة العربية السعودية",3.9
الماجد للعود,"الطريق الدائري الشرقي، الفرعي شرق, سانية, الرياض المملكة العربية السعودية",4.2
الماجد للعود,"الصالة, الطريق الدائري الشرقي، الربوة، الرياض 12839، المملكة العربية السعودية",4.3
الماجد للعود,أسواق العويس، الملك فهد، الرياض 12262، المملكة العربية السعودية,4.1
