store_name,location,rating
درعه DERAAH,"QP2V+M7، 7341 الطريق الدائري الشرقي الفرعي، القدس, 2466، الرياض 13214، المملكة العربية السعودية",4.3
درعه DERAAH,JM2X+77J، السويدي، الرياض 12791، المملكة العربية السعودية,4.2
درعه DERAAH,العزيزية، الرياض 14512 المملكة العربية السعودية,4.1
درعه DERAAH,حمزة بن عبدالمطلب، الحزم، الرياض 14964، المملكة العربية السعودية,4.2
درعه DERAAH,HG36+MX، 7173 نجم الدين الأيوبي،، طويق،، 3601، الرياض 14931، المملكة العربية السعودية,4.2
درعه DERAAH,طريق العزيزية الفرعي، الدار البيضاء، الرياض 11564، المملكة العربية السعودية,4.1
درعه DERAAH,خريص العثيم، طريق خريص الفرعي، النسيم الشرقي، الرياض 14241 QR2C+7VF النسيم الشرقي، المملكة العربية السعودية,3.6
درعه DERAAH,العزيزية، الرياض 14518، المملكة العربية السعودية,4.4
درعه DERAAH,"HH37+9F, طويق،, طريق نجم الدين الأيوبي الفرعي،, الرياض 14927، المملكة العربية السعودية",4.5
درعه DERAAH,"QP98+34V, المغرزات،، Mall، طريق الامام سعود بن عبدالعزيز بن محمد الفرعي، النخيل،، الرياض 12483، المملكة العربية السعودية",4.6
درعه DERAAH,الطريق الدائري الشرقي الفرعي، الربوة، الرياض 12839، المملكة العربية السعودية,3.7
درعه DERAAH,MMR9+VF5 Panorama Mall، المعذر الشمالي، Gate 4، الرياض المملكة العربية السعودية,4.6
درعه DERAAH,محمد بن ابي تمام، النسيم الغربي، الرياض 14233، المملكة العربية السعودية,4.2
درعه DERAAH,8077 الامام ابي حنيفة، العريجاء الغربية، 3129 الامام ابي حنيفة،، الرياض 12975 المملكة العربية السعودية,4.3
درعه DERAAH,HHH8+95C، طويق، RKTA2945، 2945 شارع بلال بن رباح، 6754، حي طويق، الرياض 14922، المملكة العربية السعودية,4.3
درعه DERAAH,"GJ3J+QV, ديراب،, حي, 4070 وادي الاعشاب، ديراب، الرياض 14969 7455, الرياض المملكة العربية السعودية",4.4
درعه DERAAH,"HG6M+JHV, طويق،، RKQA4693، 4693 احمد بن الخطاب، 6765، حي طويق،، الرياض 14929، المملكة العربية السعودية",3.7
درعه DERAAH,QQV9+742، اليرموك، طريق الإمام عبدالله بن سعود بن عبدالعزيز، اليرموك، الرياض 13225، الرياض 13217، المملكة العربية السعودية,4.2
درعه DERAAH,2709 طريق الحائر، العزيزية، الرياض 14515 6959، المملكة العربية السعودية,4.2
درعه DERAAH,شارع الحسن بن علي، الروضة، الرياض 13213 PQV4+M9W الروضة،، الرياض المملكة العربية السعودية,4.2
درعه DERAAH,"HH84+G77, طويق،، 2149 سليمان بن عبدالملك بن مروان، 7525، حي طويق،، الرياض 14927، المملكة العربية السعودية",4.0
درعه DERAAH,حي، طريق ديراب الفرعي، موقع العمل، الرياض المملكة العربية السعودية,4.6
درعه DERAAH,2499 طريق ديراب الفرعي، الشفا الرياض 14713 7633، الرياض 44231، الرياض 11551 المملكة العربية السعودية,3.9
درعه DERAAH,طريق عرفات، حي، الشفاء، الرياض 14718، المملكة العربية السعودية,4.5
درعه DERAAH,Khalid Rafie Street، Al Azizia Road، الرياض HQMJ+R4R العزيزية، المملكة العربية السعودية,4.4
درعه DERAAH,ابن حزم، العريجاء الغربية، الرياض 11551، المملكة العربية السعودية,4.1
درعه DERAAH,"PRMW+QPC, النسيم، الشرقي،، 8347-8449 ابي الاسود الدؤلي، النسيم، الرياض 14244، المملكة العربية السعودية",4.5
درعه DERAAH,ابي سعيد الخدري، الملك فيصل، الرياض 13215، المملكة العربية السعودية,4.2
درعه DERAAH,"JP33+CX، السويدي، JP33+CX, السويدي،, سلطانه، سلطانة، الرياض 11564، المملكة العربية السعودية",4.1
درعه DERAAH,الترمذي، الشفا، الرياض 14713، المملكة العربية السعودية,4.1
درعه DERAAH,HQM6+RXV، الشباب، العزيزية، الرياض 14514، المملكة العربية السعودية,4.1
درعه DERAAH,الطريق الدائري الغربي، ظهرة نمار، الرياض 14924، المملكة العربية السعودية,4.5
درعه DERAAH,الرمال افنيو، علي البجادي، الرمال، الرياض 11564، المملكة العربية السعودية,4.3
درعه DERAAH,MPWH+6RW، 3224 الملك عبد العزيز،، الملك عبد العزيز، الرياض 12411، المملكة العربية السعودية,4.0
درعه DERAAH,الربوة،، الطريق الدائري الشرقي، الربوة، الرياض المملكة العربية السعودية,4.0
درعه DERAAH,HQP6+XW4، العزيزية، الرياض 14514، المملكة العربية السعودية,4.3
درعه DERAAH,طريق ابو عبيدة عامر بن الجراح، السلي، الرياض 11564، المملكة العربية السعودية,4.0
درعه DERAAH,البرق، حي الندوة، الرياض 14814، المملكة العربية السعودية,4.4
درعه DERAAH,"PQPM+V9W، الاندلس، Khalid Ibn Al Walid St, Al Andalus, Riyadh 13211، الرياض 11564، المملكة العربية السعودية",4.8
درعه DERAAH,النفل 13312،،، الرياض 13312، المملكة العربية السعودية,4.3
درعه DERAAH,طريق الشيخ خليفة بن حمد ال ثاني، الجنادرية، الرياض 13611، المملكة العربية السعودية,3.7
درعه DERAAH,HJVJ+CMF، ظهرة البديعة، الرياض 12974، المملكة العربية السعودية,3.9
درعه DERAAH,هارون الرشيد، الفيحاء، الرياض 14254، المملكة العربية السعودية,4.1
درعه DERAAH,PMQM+792، الملك فهد، الرياض 12272، المملكة العربية السعودية,3.5
درعه DERAAH,QVWQ+FFM، 4701 الندوة، حي الندوة، RSRA7662، 7662، الرياض 14813، المملكة العربية السعودية,5.0
درعه DERAAH,الملك عبد العزيز، الحزيمية، محافظة المزاحمية 19656، المملكة العربية السعودية,4.0
درعه DERAAH,QJ4J+439 Riyadh Park Mall، الطريق الدائري الشمالي الفرعي، العقيق، الرياض 13511، المملكة العربية السعودية,5.0
درعه DERAAH,طريق أنس ابن مالك، الياسمين، الرياض 11551، المملكة العربية السعودية,4.1
درعه DERAAH,شارع أم الحمام، أم الحمام الغربي، الرياض 12327 المملكة العربية السعودية,4.2
درعه DERAAH,PRMM+Q39، شارع حسان بن ثابت، النسيم الشرقي، الرياض 14243، المملكة العربية السعودية,4.2
درعه DERAAH,الحسين بن علي، الازدهار، الرياض 12485، المملكة العربية السعودية,4.0
درعه DERAAH,طريق سعيد ابن زيد، قرطبة، الرياض 13245، المملكة العربية السعودية,4.1
درعه DERAAH,QJXR+3Q، طريق الامام سعود بن فيصل، الصحافة، الرياض 13315، المملكة العربية السعودية,4.2
درعه DERAAH,ينبع، ظهرة لبن،، ظهرة لبن، الرياض 11564، المملكة العربية السعودية,4.1
درعه DERAAH,QQ84+R58، الحمراء، الرياض 13216، المملكة العربية السعودية,4.7
درعه DERAAH,RQ8J+VX، اليرموك، الرياض 13251، المملكة العربية السعودية,4.3
درعه DERAAH,سعد بن ابي وقاص، النسيم الغربي، الرياض 11564، المملكة العربية السعودية,4.0
درعه DERAAH,شارع التخصصي، الرحمانية، الرياض 12344، المملكة العربية السعودية,4.2
درعه,طريق خريص، الروضة، الرياض 11551، المملكة العربية السعودية,4.2
درعه DERAAH,شارع عسير،، ظهرة لبن، الرياض 11564، المملكة العربية السعودية,4.2
درعه DERAAH,PMVH+7R3 حي، طريق الملك عبدالعزيز، الملك فهد، الرياض 12272، المملكة العربية السعودية,3.7
درعه DERAAH,الشفا، الرياض 13781، المملكة العربية السعودية,4.6
درعه DERAAH,RQ83+5RJ، المونسية، الرياض 13246، المملكة العربية السعودية,4.2
درعه DERAAH,PQXF+CHX، الملك فيصل، RFFB6207، 6207 خالد بن الوليد، 3476، حي الملك فيصل، الرياض 13215، الرياض 11564، المملكة العربية السعودية,4.3
درعه DERAAH,الزبير بن العوام، السلام، الرياض 14226 المملكة العربية السعودية,4.2
درعه DERAAH,الامير بندر بن عبد العزيز، الخليج، الرياض 11551، المملكة العربية السعودية,4.2
درعه DERAAH,اليرموك،، الرياض 13252، المملكة العربية السعودية,4.0
درعه DERAAH,طريق ابي بكر الصديق، العارض، حي، الرياض المملكة العربية السعودية,4.3
درعه DERAAH,3847 الشيخ صالح بن عبد العزيز بن عبد الرحمن، السويدي الغربي، الرياض 12993، المملكة العربية السعودية,4.0
درعه DERAAH,البطحاء، المنصورة، الرياض 11564، المملكة العربية السعودية,4.4
درعه DERAAH,خديجة بنت خويلد، طويق، الرياض 11551، المملكة العربية السعودية,4.3
درعه DERAAH,الإمام الشافعي، الفيحاء، الرياض 14253، المملكة العربية السعودية,4.6
