store_name,location,rating
إبراهيم القرشي,طريق الامام سعود بن عبدالعزيز بن محمد الفرعي، الملك فهد، الرياض 12262، المملكة العربية السعودية,3.9
ابراهيم القرشي,"Salam mall, third floor - gate 3، الطريق الدائري الغربي الفرعي، ظهرة نمار، الرياض 14924، المملكة العربية السعودية",4.1
ابراهيم القرشي للعود والعطور,MQPG+7RP، الطريق الدائري الشرقي، الفرعي،، الرياض 14215،، المملكة العربية السعودية,4.0
ابراهيم القرشي للعطور,7454 الطريق الدائري الشرقي، الفرعي، غرناطة،، الرياض 13241،، المملكة العربية السعودية,4.5
ابراهيم القرشي,QP98+7C8، المغرزات، الرياض 12483، المملكة العربية السعودية,3.8
ابراهيم القرشي للعود والعنبر,QQFG+CQX، الملك فيصل، الرياض 13215، المملكة العربية السعودية,4.1
ابراهيم القرشي,الطائف، ظهرة لبن، الرياض 13782 JHX4+CQG ظهرة لبن،، ظهرة لبن، الرياض 13782، المملكة العربية السعودية,4.1
ابراهيم القرشي للعود والعطور,طريق الملك فهد الفرعي، العليا، الرياض 12331، المملكة العربية السعودية,4.0
ابراهيم القرشي,"Hayat Mall, الملك فهد، الرياض 12272، المملكة العربية السعودية",3.7
ابراهيم القرشي,"2851 طريق الملك عبدالعزيز، النفل، حي, 6137، الرياض 13312، المملكة العربية السعودية",4.2
ابراهيم القرشي,QJ4J+73W بارك بوابه رقم٢ الدور الاول، العقيق، الرياض 13511، المملكة العربية السعودية,4.3
ابراهيم القرشي-العزيزية,HQP5+9GP، طريق النصر، العزيزية، الرياض 14515، المملكة العربية السعودية,5.0
ابراهيم القرشي - الشفا,3601 الترمذي، حي الشفا، RLFB8362، 8362، الرياض 14713، المملكة العربية السعودية,4.8
إبراهيم القرشي,MQPG+666، الطريق الدائري الشرقي، الربوة، الرياض 12839، المملكة العربية السعودية,3.3
ابراهيم القرشي,"Al Sadhan Complex بجانب بيتزا هت, طريق خريص، المنار، الرياض 14221، المملكة العربية السعودية",4.4
ابراهيم القرشي,"3380 طريق الدمام، المونسية, 6297، الرياض 13246، المملكة العربية السعودية",4.9
ابراهيم القرشي,مطار الملك خالد الدولي، الرياض 13421، المملكة العربية السعودية,5.0
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"Park Avenue, قرطبة، الرياض 13248، المملكة العربية السعودية",4.4
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"Abu Bakr Al-Siddiq Road, الربيع، الرياض 13316، المملكة العربية السعودية",5.0
محمد القرشي للعود والعطور,طريق الملك فهد، عتيقة، الرياض 13515، المملكة العربية السعودية,4.2
Abdul Samad Al Qurashi,بوابة 1، الحديثي مول، الخرج المملكة العربية السعودية,4.0
ابراهيم القرشي للعطور | Ibrahim Al-Qurashi,"after the Periodic Check Bridge towards the west, طريق الدمام، المونسية، الرياض 13246، المملكة العربية السعودية",5.0
مؤسسة عبد الرحمن إبراهيم القريشي للتجارة,2851 اسد بن الفرات، العمل، الرياض 12643 7584، المملكة العربية السعودية,3.5
Abdul Samad Al Qurashi,5829+V9G، طريق أبي بكر الصديق، السلام، شارع القاعدة مع الستين، الخرج 16277، المملكة العربية السعودية,4.0
مسجد ابراهيم القريشي,QQJ6+RMH، الجدلان، الحمراء، الرياض 13217، المملكة العربية السعودية,4.7
ابراهيم القرشي للعود,"Ground floor - gate 3، Al Nakheel, Mall، الصفراء، بريدة 52383، المملكة العربية السعودية",4.0
ابراهيم القرشي ibraheem al.qurashi,Ground floor - gate 5، طريق الملك عبدالله، al-jamea district، مكة المملكة العربية السعودية,4.1
إبراهيم القرشي للعود و العطور,"Company Tower, الحرم، مكة 24231، المملكة العربية السعودية",4.1
ابراهيم القرشي,7856-7802 قصر الضيافة، النزهة، مكة 24225، المملكة العربية السعودية,4.2
ابراهيم القرشي للعطور,مكة 24372، المملكة العربية السعودية,5.0
ابراهيم القرشي للعود والعطور,"Sheikh Mohammed Al-Jubeir Street, الشوقية، مكة 24351، المملكة العربية السعودية",4.7
ابراهيم القرشي,"CV3C+XXR شارع العزيزية, طريق المسجد الحرام، الجامعة، مكة 24243، المملكة العربية السعودية",5.0
ابراهيم القرشي,الراشدية، 8681، 2590، مكة 24268، المملكة العربية السعودية,3.4
القرشي للعود والعطور,6939 الهجرة، الحرم، مكة 24231، المملكة العربية السعودية,4.0
ابراهيم القرشي,سهيل بن عمرو، الاجاويد، جدة 22442، المملكة العربية السعودية,4.3
Abdul Samad Al Qurashi,CQMR+93 بنك الراجحي، قصر الضيافة، بجوار، مكة 24225، المملكة العربية السعودية,4.1
ابراهيم القرشي,"عبدالله بن ابي امية, الحمدانية، جدة 23761، المملكة العربية السعودية",4.7
Abdul Samad Al Qurashi,بوابة 2، حي العزيزية طريق الملك عبدالعزيز مجمع مكة مول، مكة المملكة العربية السعودية,4.2
ابراهيم القرشي,Ground floor - gate 1، الإمام الشافعي، street، Al Faisaliah District، جدة المملكة العربية السعودية,4.1
ابراهيم القرشي للعود والعطور,البلد، جدة 22233، المملكة العربية السعودية,4.1
ابراهيم القرشي,Unnamed Road، النزهة، جدة 23532، المملكة العربية السعودية,4.5
إبراهيم القرشي,"هيفاء مول, الرويس، جدة 23215، المملكة العربية السعودية",4.6
محمد القرشي للعود والعطور,6735 شارع أجياد، أجياد مكة 24231 4510 شارع أجياد، 4510، أجياد، مكة 24231، المملكة العربية السعودية,4.3
فايز القرشي للعود والعطور,"بجانب مطعم ريدان, طریق المسجد الحرام، العزيزية الشمالية،، مكة 24243، المملكة العربية السعودية",4.2
ابراهيم القرشي,المنار،، جدة المملكة العربية السعودية,4.2
Ahmed AlQurashi أحمد القرشي للعود والعنبر و العطور,CRCC+8QX، طريق ابراهيم الخليل، الشبيكة، مكة 24231، المملكة العربية السعودية,4.8
إبراهيم القرشي,Q5CX+63P، شارع عمرو بن أبي وقاص، الحمدانية، جدة 23761، المملكة العربية السعودية,4.8
ابراهيم القرشي,"District - Gate 3 - first floor, طريق الأمير طلال بن منصور بن عبدالعزيز، الأصالة، جدة 00000، المملكة العربية السعودية",4.4
ابراهيم القرشي,السلام مول، الفيحاء، المملكة العربية السعودية,4.0
ابراهيم القرشي للعطور,شارع الأمير محمد بن عبدالعزيز، الأندلس، جدة 23326، المملكة العربية السعودية,4.1
ابراهيم القرشي,3911-3916 النهضة، الروضة، جدة 23432، المملكة العربية السعودية,5.0
ابراهيم القرشي,Q439+GG7، أبحر الشمالية، جدة 23815، المملكة العربية السعودية,4.4
ابراهيم القرشي,العزيزية، فلامنجو مول حي، جدة المملكة العربية السعودية,3.6
دار القرشي للعود و العطور,7424 طريق المسجد الحرام، 3756، الجامعة، مكة 24243، المملكة العربية السعودية,4.3
ابراهيم القرشي,"Taiba neighborhood, طيبة، جدة 23832، المملكة العربية السعودية",3.9
