store_name,location,rating
الرصاصي,7384 الثويمات، 3931، الربوة، الرياض 12839، المملكة العربية السعودية,4.2
رصاصي,JPH5+W44، الديرة، الرياض 12634، المملكة العربية السعودية,4.3
Rasasi الرصاصي,"المربع، King Faisal Road King Faisal Road, 3520, الرياض 12612، المملكة العربية السعودية",3.9
ركن الرصاصي,JPJ5+22J، الديرة، الرياض 12634، المملكة العربية السعودية,3.8
الرصاصي للعطور Rasasi Perfumes,"فلسطين، شارع فلسطين، حي الرويس 4599, هيفاء مول، بوابة7، المملكة العربية السعودية",4.1
الرصاصي للعطور,الامير فواز الجنوبي،، الامير فواز الجنوبي، جدة 22431، المملكة العربية السعودية,3.9
الرصاصي للعطور Rasasi Perfumes,البلد، جدة 22233، المملكة العربية السعودية,4.1
الرصاصي للعطور والبخور,"Tahlia Street, الروضة، جدة 23432، المملكة العربية السعودية",4.4
الرصاصي للعطور Rasasi Perfumes,عزيز مول حي المملكة العربية السعودية,4.5
الرصاصي للعطور,Clock Tower - برج الساعة، ابي البر، الصفا، جدة 23453، المملكة العربية السعودية,4.2
الرصاصي للعطور | Rasasi Parfums,محمد علي زينل، الروضة، جدة 23434، المملكة العربية السعودية,4.3
الرصاصي للعطور | Rasasi Perfume,جدة بارك، العزيزية، جدة 23334، المملكة العربية السعودية,4.2
الرصاصي للعطور,2946 طريق الملك فهد، بضاعة، 6927، المدينة المنورة 42311، المملكة العربية السعودية,4.2
Rasasi perfume الرصاصي للعطور,"CGWR+Q67, Al-Madinah Al-Munawarah Road, Aziziyah, Jeddah 42374، المملكة العربية السعودية",4.1
الرصاصي للعطور | Rasasi Perfumes,Cenomi Al Salaam Mall، الأمير ماجد، الفيحاء، جدة 23343، المملكة العربية السعودية,5.0
الرصاصي للعطور Rasasi Perfumes,خط الحرمين الياسمين مول، المنار، جدة 23343، المملكة العربية السعودية,4.0
الرصاصي للعطور Rasasi Perfumes,M46C+MM9 آية مول، طريق الأمير سلطان الفرعي، حي المحمدية، جدة 23618، المملكة العربية السعودية,2.5
صحاري للعطور,مجمع أبها بلازا، حي المنسك، إشارة المنسك، البديع، أبها 62581، المملكة العربية السعودية,3.0
غراس للعطور | Grasse Perfume المدينة العالية ابها,طريق الملك عبدالعزيز، السروات، أبها 62511، المملكة العربية السعودية,4.6
الرصاصي للخياطة الرجالية,طريق صلاح الدين، عتود، خميس مشيط 62431، المملكة العربية السعودية,4.6
المساعد للعطور,الربوة، أبها،، أبها المملكة العربية السعودية,3.4
ركن الرصاصي,مجمع قلب الطائف، ابو بكر الصديق، شبرا، الطائف 26523، المملكة العربية السعودية,3.9
غراس للعطور | Grasse Perfume البوليفارد خميس مشيط,طريق الأمير سلطان، الشفاء، خميس مشيط 62433، المملكة العربية السعودية,4.6
