store_name,location,rating
ريف العطور,"RPVM+7MP، Airport Road, King Khalid International، الرياض 13413، المملكة العربية السعودية",4.1
ريف العطور,الدائري الشرقي، حي الشهداء، غرناطة مول، الرياض المملكة العربية السعودية,4.8
ريف العطور,QJ3J+X3P، الطريق الدائري الشمالي الفرعي، بارك، حي العقيق، الرياض المملكة العربية السعودية,4.2
ريف للعطور,الملك فيصل، الرياض 13215، المملكة العربية السعودية,3.9
ريف العطور,JM2W+2PF، السويدي العام، السويدي، الرياض 11564، المملكة العربية السعودية,4.7
ريف العطور,ظهرة نمار، 4419 الطريق الدائري الغربي الفرعي،، الرياض 14924، المملكة العربية السعودية,4.4
ريف العطور,"العليا، Olaya St, Al Olaya،، الرياض المملكة العربية السعودية",3.7
ريف العطور,QP88+R4G مول، طريق الإمام سعود بن عبدالعزيز بن محمد، النخيل، حي المغرزات، الرياض المملكة العربية السعودية,4.4
ريف العطور,النخيل، طريق الأمير تركي بن عبدالعزيز الأول،، المملكة العربية السعودية,4.3
ريف العطور,بوليفارد، حطين، الرياض 13516، المملكة العربية السعودية,4.5
ريف العطور,طريق الأمير محمد بن سعد بن عبدالعزيز المكان مول بوابة رقم 2، الرياض 13521، المملكة العربية السعودية,3.5
ريف العطور,طريق خريص الفرعي، النسيم الشرقي، الرياض 14241، المملكة العربية السعودية,3.9
ريف العطور,شارع التخصصي، المحمدية، الرياض 12361، المملكة العربية السعودية,4.4
ريف,7210 شارع العليا، الملك فهد، الرياض 12262، المملكة العربية السعودية,3.8
ريف العطور,رويال مول، طريق الملك فهد الفرعي، الرحمانية، الرياض 12343، المملكة العربية السعودية,3.0
ريف العطور,طريق الملك فهد الفرعي الرياض جالري بوابة رقم 3، الرياض 12262، المملكة العربية السعودية,4.2
ريف العطور,مركز قرطبة التجاري، طريق الأمير محمد بن سلمان بن عبدالعزيز، قرطبة، الرياض 13247، المملكة العربية السعودية,5.0
ريف العطور,7089 طريق ابي بكر الصديق، الندى، الرياض 13317، المملكة العربية السعودية,5.0
ريف العطور,الربوة، العثيم مول،، الرياض 12839، المملكة العربية السعودية,3.5
ريف العطور,QH2F+GJ8، الخالدية، الدرعية 13713، المملكة العربية السعودية,3.6
ريف للعطور,PR2M+PX3، السعادة، الرياض 14255، المملكة العربية السعودية,5.0
ريف العطور,لا ڤالي مول، طريق الملك عبدالعزيز، النفل، الرياض 13312، المملكة العربية السعودية,3.8
ريف العطور,QMC9+JHP Cenomi Tala Mall، طريق الملك عبدالعزيز، النفل، الرياض 13312، المملكة العربية السعودية,2.3
ريف العطور,طريق الملك عبدالعزيز ذا فيو مول بوابة رقم 4، الرياض 12411، المملكة العربية السعودية,3.0
ريف العطور,سنتر بوينت، طريق العروبة، العليا، شارع العليا مع، الرياض المملكة العربية السعودية,1.3
شركة ريف - الإدارة العامة,RJ6G+9HQ حي، طريق أنس ابن مالك، الصحافة، الرياض 13321، المملكة العربية السعودية,4.1
ريف العطور,بوابة، شارع رقم 1، البطحاء العنود مول، الرياض 14515، المملكة العربية السعودية,3.6
Reef Perfume,"QQFG+V88 مول, طريق الشيخ حسن بن حسين بن علي، الحمراء، الرياض 13215، المملكة العربية السعودية",4.6
ريف العطور,"RPHH+75W Park Avenue MAll, قرطبة، الرياض 11133، المملكة العربية السعودية",5.0
ريف العطور,"RPQM+P4M, Unnamed Road, مطار الملك خالد الدولي، الرياض 13412، المملكة العربية السعودية",4.5
Reef Perfumes,"alolya st, الصحافة، الرياض 13321، المملكة العربية السعودية",5.0
زهور الريف,RQ6C+P2H، اليرموك، الرياض 13243، المملكة العربية السعودية,4.1
زهورالريف,المعذر، التخصصي ،، الرياض المملكة العربية السعودية,4.2
زهور الريف,العثيم الربوة، قرب بالدائر، مخرج 14، الربوة، رقم باب 4، الرياض 12839، المملكة العربية السعودية,4.0
زهور الريف,HJ5Q+C33، ظهرة نمار، الرياض 14924، المملكة العربية السعودية,4.0
زهور الريف,8779 عندل، بدر، 3580 عندل،، الرياض 14725، المملكة العربية السعودية,3.7
ريف البنفسج للهدايا و العطور,جامع الصانع بعد محطة فيول، شارع السويدي العام، السويدي، الرياض 12787، المملكة العربية السعودية,4.7
زهور الريف,النخيل مول، حي النزهة، المغرزات، الرياض 12483، المملكة العربية السعودية,4.4
زهور الريف,وادي حنيفة وادي حنيفة، الاندلس، الرياض 13212، المملكة العربية السعودية,4.2
زهور الريف,RM9P+6HQ مكتبة جرير، طريق الثمامة، النرجس، الرياض 13323، المملكة العربية السعودية,3.8
ريف العطور,9VGX+533، طريق الملك عبدالله، المشاعر، مكة 24251، المملكة العربية السعودية,4.4
ريف العطور,، جبل عمر، الشبيكة، مكة 24231، المملكة العربية السعودية,4.2
ريف العطور,طريق مكة جدة السريع، الحجاز مول 24227، المملكة العربية السعودية,3.9
ريف للعطور,CRR2+73 حي، 6149 شارع الحجون، الزاهر، 3878، مكة 24222، المملكة العربية السعودية,3.0
ريف للعطور العوالي,3861 8750 جبل ثور، مكة 24372، المملكة العربية السعودية,4.3
Reef Perfume,طريق الملك عبدالله، الجامعة، مكة 24246، المملكة العربية السعودية,4.5
ريف العطور,"CRCG+2GF، شارع أجياد، الحرم، King Abdul aziz Road, مكة 24231، المملكة العربية السعودية",3.8
ريف العطور,شارع عبدالعزيز بن ابراهيم، حي الصفا، المرجان مول المملكة العربية السعودية,5.0
ريف العطور,Cenomi Al Salaam Mall، شارع الأمير ماجد، الفيحاء، جدة 22251، المملكة العربية السعودية,4.2
ريف العطور,G649+M5P حي، الأمير ماجد، الفيحاء، جدة 13321، المملكة العربية السعودية,4.5
ريف العطور,الياسمين مول، شارع الاجاويد، المنار، جدة 23462، المملكة العربية السعودية,4.1
ريف العطور,طريق الملك فهد الفرعي، بارك، جدة 23334، المملكة العربية السعودية,4.5
ريف العطور,عزيز مول، بوابة رقم 1، طريق الامير ماجد، جدة المملكة العربية السعودية,4.8
ريف العطور,ردسي مول، طريق الملك عبدالعزيز، الشاطئ، حي، جدة 21146، المملكة العربية السعودية,4.0
ريف العطور,شارع فلسطين، الرويس، جدة 23215، المملكة العربية السعودية,4.3
ريف العطور,الجامعة، جدة 22338، المملكة العربية السعودية,5.0
ريف العطور,حي الجال، الطائف 26523، المملكة العربية السعودية,4.6
ريف العطور,طريق الملك عبدالله الفرعي، المنار مول، المدينة المنورة 42371، المملكة العربية السعودية,4.8
ريف العطور فرع واجهة قباء,الجمعة، المدينة المنورة 42315، المملكة العربية السعودية,4.8
ريف العطور,طريق قباء، العاليه مول بوابة 3، المدينة المنورة 42383، المملكة العربية السعودية,5.0
ريف العطور,بوابة 2، طريق الملك عبدالله الفرعي الراشد ميقا مول، المدينة المنورة 42361، المملكة العربية السعودية,5.0
ريف العطور,طريق قباء، جادة قباء، المدينة المنورة 42315، المملكة العربية السعودية,3.0
Reef Perfumes,"بضاعة، 42311, بضاعة، 42311، المملكة العربية السعودية",4.8
زهور الريف,الحديقة، المدينة المنورة 42383، المملكة العربية السعودية,4.4
زهور الريف,مجمع النور، العيون، المدينة المنورة 42331، المملكة العربية السعودية,4.2
Dkhoun | دخون,Al Rashid Mega Mall، طريق الملك عبدالله، Al Rashid Mega Mall، المدينة المنورة المملكة العربية السعودية,4.8
Dkhoun | دخون,4549 طريق الملك عبدالله الفرعي، Al Manar Mall 8352، المدينة المنورة 42371، المملكة العربية السعودية,4.8
ريف العطور,25JV+QF6، العزيزية، ينبع 46435، المملكة العربية السعودية,3.3
ريف العطور,النقرة،، حائل 55431، المملكة العربية السعودية,4.4
ريف العطور,بارك، طريق الملك فيصل، مروج الأمير، تبوك 47315، المملكة العربية السعودية,4.5
Reef Perfume,4X5V+6WF، سلطانة، عنيزة 56434، المملكة العربية السعودية,4.5
ريف العطور,Aljal، 4210، 7957، الطائف 26523، المملكة العربية السعودية,4.4
ريف العطور,طريق الملك عبدالله النخيل بلازا بوابة رقم 2، بريدة 51491، المملكة العربية السعودية,4.0
زهور الريف,J5J4+VJH، النزهة، جدة 23532، المملكة العربية السعودية,4.1
زهور الريف,"G64F+JGV، بوابة 6، حي النسيم, طريق الملك عبدالله، جدة 23737، المملكة العربية السعودية",4.0
زهور الريف,الحمدانية، حي، جدة 23761، المملكة العربية السعودية,3.8
ريف العطور,طريق الملك عبدالعزيز، الشرفية، مركز قورميه بوليفارد، أبها 62542، المملكة العربية السعودية,4.8
ريف العطور,طريق الملك فهد الراشد مول، أبها المملكة العربية السعودية,3.9
ريف للعطور ابها زون,ابها زون مول، الاندلس، أبها 62521، المملكة العربية السعودية,5.0
ريف العطور,الشفاء، خميس مشيط 62433، المملكة العربية السعودية,4.2
ريف العطور,"8539+H84, Mall of Dhahran Blvd, الدوحة الجنوبية، الظهران 34457، المملكة العربية السعودية",4.0
ريف العطور,شارع عمر بن الخطاب، الفيصلية، 32271 المملكة العربية السعودية,4.7
ريف العطور,دارين مول، شارع الخليج، حي العزيزية،، الدمام المملكة العربية السعودية,4.1
Reef perfumes ريف للعطور,C46G+3JR، شارع فاطمة الزهراء، عبدالله فؤاد، الدمام 32235، المملكة العربية السعودية,3.7
عطور ريف,C3R8+V8R، شارع أبو حامد الغزالي، العنود، الدمام 32427، المملكة العربية السعودية,2.0
Reef Perfume,75RJ+86P الراشد مول، العليا، الخبر 34448، المملكة العربية السعودية,4.6
ريف العطور,"92RP+CWM, 9095 8 ا, المنار، 3543, الدمام 32274، المملكة العربية السعودية",5.0
زهور الريف,"75QJ+X7W, Custodian of The Two Holy Mosques, العليا، الخبر 34448، المملكة العربية السعودية",3.3
ريف العطور,"9626+PFP، طريق الملك فيصل، البحر، 9626+PFX, الخبر 34218، المملكة العربية السعودية",5.0
Best perfume احلى عطر,شارع عبدالله بن الحارث، الشاطئ، القطيف 32617، المملكة العربية السعودية,4.9
زهور الريف,C428+8X5، عبدالله فؤاد،، عبدالله فؤاد، الدمام 32236، المملكة العربية السعودية,4.4
ريف العطور,75PM+H6X، الثقبة، الخبر 34623، المملكة العربية السعودية,3.0
زهور الريف,"المنار، 3711 عبد الرحمن بن عوف، 9231, Saudi Arabia, الدمام 32274، المملكة العربية السعودية",4.2
زهور الريف,مجمع دارين مول، حي العزيزية، العزيزية، الدمام 32424، المملكة العربية السعودية,3.9
زهور الريف,F43C+W6W، الشاطئ الشرقي، الدمام 32414، المملكة العربية السعودية,4.1
زهور الريف,مجمع الظهران، شارع فيصل بن فهد، حي الدوحة الجنوبية، الدوحة الجنوبية، الظهران 34457، المملكة العربية السعودية,4.1
Al reef zohoor perfume shop,76P6+QCF، حي الخبر الشمالية، الخبر 34428، المملكة العربية السعودية,5.0
زهور الريف,6623+7J2، التحلية، الخبر 34715، المملكة العربية السعودية,2.8
ريف العطور,طريق الظهران،،، وسط الأحساء، المبرز 36341، المملكة العربية السعودية,3.7
ريف العطور,"3HXF+336, 7353 الحويلات، EJAA4369, 4369, الجبيل 35718، المملكة العربية السعودية",1.0
Reef Perfume | عطور ريف,Railway Station، طريق الملك فهد، مجمع الدوائر الحكومية الأول، الهفوف 36361، المملكة العربية السعودية,4.0
Dkhoun,"Al Rashid Mall, 3554 Al Ulaya، الخبر المملكة العربية السعودية",4.3
لودوريه,الطريق الدائري الشرقي، غرناطة، الرياض 12486، المملكة العربية السعودية,4.1
زهور الريف,الماجد، طريق الملك خالد، حي الرفعة الجنوبية، الهفوف 36361، المملكة العربية السعودية,4.1
Reef Perfume,عثمان بن عفان، حي الإسكان، بريدة 52384، المملكة العربية السعودية,4.2
زهور الريف,3XVF+5H6، شارع عبد الله خالد ، حي الشريمية، الشريمية، عنيزة 56219، المملكة العربية السعودية,4.6
الماجد للعود,8437 شارع البخاري، حي الريان، بريدة 52379، المملكة العربية السعودية,4.6
