,jop_title,company_name,city,job_type
0,Senior Graphic Designer, Ashraqat For Integrated Solutions , Mohandessin,Full Time
1,Senior Graphic Designer, Main Marks , New Cairo,Freelance / Project
2,Graphic Designer, MixTender Beverages , 10th of Ramadan City,Internship
3,Senior Graphic Designer, Nahdet Misr Publishing Group , Mohandessin,Internship
4,Graphic Designer, Whitebalance Studios , Downtown,Full Time
5,Graphic Designer, Capital Guard , Sheraton,Freelance / Project
6,Graphic Designer, Confidential , Nasr City,Part Time
7,Graphic Designer, Injaz Digital  , Heliopolis,Full Time
8,Interior designer, AnQa Khan , Cairo,Part Time
9,Art Director, Octaholic , Cairo,Internship
10,Senior Graphic Designer / Video Editor - Real Estate, Confidential , Sheikh Zayed,Freelance / Project
11,Senior Graphic Designer, Confidential , Giza,Full Time
12,UI /UX/Graphic Designer - Alexandria, Arabic Localizer , San Stefano,Full Time
13,Senior 2D Animator - Moho - Remote Position, Confidential , Alexandria,Internship
14,Remote - Senior Video Editor & Motion Graphic Designer, RS , Cairo,Part Time
15,Graphic Designer (Printing), Rotografia , 6th of October,Part Time
16,UI UX Designer, SkyCrow , Alexandria,Part Time
17,Graphic and Motion Designer, iproperties , New Cairo,Part Time
18,Graphic Designer Intern, Casita , Dokki,Full Time
19,Graphic Designer- Real Estate, Aqar Land Real Estate consultant , New Cairo,Part Time
20,Graphic Designer, Sense All In , Mohandessin,Part Time
21,UI/UX Developer, Confidential , Khobar,Full Time
22,Graphic Designer, Motioniso , Cairo,Internship
23,Graphic Designer, Dawul , Riyadh,Freelance / Project
24,Social Media Monitoring, GetSircles Digital Agency , New Cairo,Part Time
25,Motion Graphic Animator, Jump , Nasr City,Freelance / Project
26,Graphic Designer, Confidential , Mohandessin,Freelance / Project
27,Graphic Designer, Dimofinf Operations Center , Nasr City,Internship
28,Graphic Designer, ALWAN AL ALBARQ  , Nasr City,Part Time
29,Graphic Designer, Wadi Group , Sheikh Zayed,Full Time
30,Motion Graphic Designer, Creative Motion , Cairo,Full Time
31,Graphic Designer, Bionco  , Maadi,Part Time
32,Junior Electrical Design Engineer, 3Brothers , 10th of Ramadan City,Freelance / Project
33,Graphic Designer, Eclipse Advertising Agency , Nozha,Internship
34,3D Artist (Character & Environment), Creative Motion , Cairo,Part Time
35,3d Animator Artist, Bionco  , Maadi,Full Time
36,Senior Unreal Artist, Creative Motion , Cairo,Part Time
37,Graphic Designer UI/UX, Creative Motion , Maadi,Internship
38,Graphic Designer, Rise Up  , Alexandria,Internship
39,Graphic Designer, Simple Touch Software , Maadi,Full Time
40,Graphic Designer, Remax Home Masters  , New Cairo,Part Time
41,Architect & Interior Designer, DAR GROUP , New Cairo,Full Time
42,2D Designer, Lecico Egypt , Alexandria,Full Time
43,Graphic Designer, 3D Diagnostix , Maadi,Full Time
44,Graphic Design Team Leader, MCV , Obour City,Internship
45,Motion Graphics Designer, COLORS , Heliopolis,Freelance / Project
46,In house Designer 3D Max Autocad expert, Pharmascienta , Nefertari Body Care - Cairo,Full Time
47,Art Director, Confidential , Sheikh Zayed,Internship
48,Product Designer, Palma , Maadi,Internship
49,Graphic Designer, Business integration trading company , Nasr City,Full Time
50,Senior Graphic Designer / Video Editor, Digitalmate , Nasr City,Internship
51,Graphic Designer & Finalizer, El Mohandess Print House , 10th of Ramadan City,Full Time
52,Graphic designer, Shop Seif , Cairo,Freelance / Project
53,Senior Motion Graphics, Dimofinf Operations Center , Nasr City,Freelance / Project
54,UI Developer (Mansoura), qTech.  , Mansoura,Freelance / Project
55,Senior Graphic & Motion Designer, Capital Link Developments , Heliopolis,Internship
56,Graphic Designer, Charisma Design , Nasr City,Freelance / Project
57,senior graphic designer, YBA – Yasser Al Beltagy Architects  , Sheraton,Full Time
58,Graphic Designer, Alriada , Nasr City,Internship
59,Graphic Designer, Cultiv , Heliopolis,Internship
60,Graphics designer, Spinneys Egypt , Maadi,Part Time
61,Textile Product Designer, Shatta , New Nozha,Part Time
62,Graphic Designer, Bees Studio L.L.C  , Nasr City,Full Time
63,Senior Graphic Designer / Video Editor, Confidential , Obour City,Part Time
