job_title, company_name_and_address, job_type
Graphic Designer, Bees Studio L.L.C - Nasr City, Cairo, Egypt 1 hour ago, Part Time, 
Senior Graphic Designer, Ashraqat For Integrated Solutions - Mohandessin, Giza, Egypt 4 days ago, Full Time, 
Senior Graphic Designer, Main Marks - New Cairo, Cairo, Egypt 4 days ago, Full Time, 
Graphic Designer, MixTender Beverages - 10th of Ramadan City, Cairo, Egypt 5 days ago, Full Time, 
Senior Graphic Designer, Nahdet Misr Publishing Group - Mohandessin, Giza, Egypt 6 days ago, Full Time, 
Graphic Designer, Whitebalance Studios - Downtown, Cairo, Egypt 5 days ago, Full Time, 
Graphic Designer, Capital Guard - Sheraton, Cairo, Egypt 5 days ago, Full Time, 
Graphic Designer, Confidential - Nasr City, Cairo, Egypt 7 days ago, Full Time, 
Graphic Designer, Injaz Digital  - Heliopolis, Cairo, Egypt 6 days ago, Full Time, 
Interior designer, AnQa Khan - Cairo, Egypt 8 days ago, Full Time, 
Art Director, Octaholic - Cairo, Egypt 7 days ago, Full Time, 
Senior Graphic Designer / Video Editor - Real Estate, Confidential - Sheikh Zayed, Giza, Egypt 8 days ago, Full Time, 
Senior Graphic Designer, Confidential - Giza, Egypt 8 days ago, Full Time, 
UI /UX/Graphic Designer - Alexandria, Arabic Localizer - San Stefano, Alexandria, Egypt 10 days ago, Full Time, 
Senior 2D Animator - Moho - Remote Position, Confidential - Alexandria, Egypt 9 days ago, Full Time, 
Remote - Senior Video Editor & Motion Graphic Designer, RS - Cairo, Egypt 8 days ago, Full Time, 
Graphic Designer (Printing), Rotografia - 6th of October, Giza, Egypt 11 days ago, Full Time, 
UI UX Designer, SkyCrow - Alexandria, Egypt 11 days ago, Full Time, 
Graphic and Motion Designer, iproperties - New Cairo, Cairo, Egypt 11 days ago, Full Time, 
Graphic Designer Intern, Casita - Dokki, Giza, Egypt 12 days ago, Internship, 
Graphic Designer- Real Estate, Aqar Land Real Estate consultant - New Cairo, Cairo, Egypt 13 days ago, Full Time, 
Graphic Designer, Sense All In - Mohandessin, Giza, Egypt 13 days ago, Full Time, 
UI/UX Developer, Confidential - Khobar, Saudi Arabia 13 days ago, Part Time, 
Graphic Designer, Motioniso - Cairo, Egypt 13 days ago, Freelance / Project, 
Graphic Designer, Dawul - Riyadh, Saudi Arabia 13 days ago, Part Time, 
Social Media Monitoring, GetSircles Digital Agency - New Cairo, Cairo, Egypt 12 days ago, Full Time, 
Motion Graphic Animator, Jump - Nasr City, Cairo, Egypt 12 days ago, Full Time, 
Graphic Designer, Confidential - Mohandessin, Giza, Egypt 14 days ago, Full Time, 
Graphic Designer, Dimofinf Operations Center - Nasr City, Cairo, Egypt 14 days ago, Full Time, 
Graphic Designer, ALWAN AL ALBARQ  - Nasr City, Cairo, Egypt 14 days ago, Full Time, 
Graphic Designer, Wadi Group - Sheikh Zayed, Giza, Egypt 14 days ago, Full Time, 
Motion Graphic Designer, Creative Motion - Cairo, Egypt 13 days ago, Full Time, 
Graphic Designer, Bionco  - Maadi, Cairo, Egypt 14 days ago, Full Time, 
Junior Electrical Design Engineer, 3Brothers - 10th of Ramadan City, Cairo, Egypt 14 days ago, Full Time, 
Graphic Designer, Eclipse Advertising Agency - Nozha, Cairo, Egypt 15 days ago, Full Time, 
3D Artist (Character & Environment), Creative Motion - Cairo, Egypt 14 days ago, Full Time, 
